,hst,chnst,z
36275,1751161.0,4049248.0,6189226.0
36276,1827792.0,4265151.0,8825799.0
36277,1950676.0,4222294.0,12122093.0
36278,1908741.0,3995013.0,13415366.0
36279,1679332.0,3662914.0,11518680.0
36280,1459924.0,3411833.0,5887216.0
36281,1267270.0,3581709.0,2514427.0
36282,1445235.0,4193509.0,944420.0
36283,1515312.0,4848172.0,401415.0
36284,1238139.0,4465449.0,212185.0
36285,577800.0,2227805.0,164247.0
36286,169185.0,938442.0,238993.0
36287,60967.0,495260.0,498582.0
36288,49410.0,268521.0,1561269.0
36289,94150.0,216443.0,3699743.0
36290,255339.0,347122.0,5787963.0
36291,284320.0,418269.0,6875992.0
36292,334357.0,530947.0,4822329.0
36293,436785.0,1065030.0,6389712.0
36294,842327.0,2309205.0,7375863.0
36295,1076908.0,2656907.0,7462655.0
36296,1144432.0,2881817.0,7536528.0
36297,1230987.0,3924728.0,6278094.0
36298,1285977.0,3878800.0,4109144.0
36299,1250125.0,4261669.0,4852815.0
36300,1264064.0,3637911.0,6496779.0
36301,1400004.0,3526639.0,9426389.0
36302,1564871.0,3620137.0,11448446.0
36303,1520134.0,2963941.0,10226223.0
36304,1275961.0,2530313.0,6306377.0
36305,1160864.0,2843442.0,2845827.0
36306,1387881.0,3437561.0,1110862.0
36307,1415347.0,4035264.0,429528.0
36308,1292439.0,4244011.0,216458.0
36309,669047.0,2482614.0,156394.0
36310,204082.0,959707.0,190524.0
